name,series,family,description,location,region,regionLocation,regionLocationLong,regionLocationCountryCode,regionCfe,regionCo2Kwh,regionLowCo2,regionLat,regionLng,regionPublicIpv4Addr,zoneCount,zones,vCpus,sharedCpu,intel,amd,arm,cpuPlatformCount,cpuPlatform,cpuBaseClock,cpuTurboClock,cpuSingleMaxTurboClock,availableCpuPlatformCount,availableCpuPlatform,coremarkScore,standardDeviation,sampleCount,memoryGB,acceleratorCount,acceleratorType,disks,disksSizeGb,localSsd,bandwidth,tier1,sap,saps,hana,sud,spot,hour,hourSpot,month,month1yCud,month3yCud,monthSpot,monthSles,monthSlesSap,monthSlesSap1yCud,monthSlesSap3yCud,monthRhel,monthRhel1yCud,monthRhel3yCud,monthRhelSap,monthRhelSap1yCud,monthRhelSap3yCud,monthWindows
n2-highcpu-4,n2,General-purpose,"4 vCPUs 4 GB RAM",africa,africa-south1,Johannesburg,"Johannesburg, South Africa",ZA,16.0,646.0,0.0,-26.1714376,27.8841339,70656.0,3.0,"africa-south1-a, africa-south1-b, africa-south1-c",4.0,0,1.0,0.0,0.0,2.0,"Intel Cascade Lake, Intel Ice Lake",2.6,3.4,3.5,2.0,"Intel Cascade Lake, Intel Ice Lake",66908.0,0.64,2328.0,4.0,"","",128.0,263168.0,1.0,10.0,0.0,0.0,"",0.0,1.0,1.0,0.187556744,0.033932,109.560521780624,86.25642624,61.61391552,24.77036,80.3,248.2,100.01,89.425,42.048,42.048,42.048,65.7,65.7,65.7,134.32
n2-highcpu-48,n2,General-purpose,"48 vCPUs 48 GB RAM",africa,africa-south1,Johannesburg,"Johannesburg, South Africa",ZA,16.0,646.0,0.0,-26.1714376,27.8841339,70656.0,3.0,"africa-south1-a, africa-south1-b, africa-south1-c",48.0,0,1.0,0.0,0.0,2.0,"Intel Cascade Lake, Intel Ice Lake",2.6,3.4,3.5,2.0,"Intel Cascade Lake, Intel Ice Lake",822890.0,1.82,216.0,48.0,"","",128.0,524288.0,1.0,32.0,50.0,0.0,"",0.0,1.0,1.0,2.250680928,0.407184,1314.72626136749,1035.07711488,739.36698624,297.24432,80.3,299.3,119.939,107.748,378.432,378.432,378.432,569.4,569.4,569.4,1611.84
n2-highcpu-64,n2,General-purpose,"64 vCPUs 64 GB RAM",africa,africa-south1,Johannesburg,"Johannesburg, South Africa",ZA,16.0,646.0,0.0,-26.1714376,27.8841339,70656.0,3.0,"africa-south1-a, africa-south1-b, africa-south1-c",64.0,0,1.0,0.0,0.0,2.0,"Intel Cascade Lake, Intel Ice Lake",2.6,3.4,3.5,2.0,"Intel Cascade Lake, Intel Ice Lake",1100249.0,1.18,160.0,64.0,"","",128.0,524288.0,1.0,32.0,75.0,0.0,"",0.0,1.0,1.0,3.000907904,0.542912,1752.96834848998,1380.10281984,985.82264832,396.32576,80.3,299.3,119.939,107.748,504.576,504.576,504.576,759.2,759.2,759.2,2149.12
n2-highcpu-8,n2,General-purpose,"8 vCPUs 8 GB RAM",africa,africa-south1,Johannesburg,"Johannesburg, South Africa",ZA,16.0,646.0,0.0,-26.1714376,27.8841339,70656.0,3.0,"africa-south1-a, africa-south1-b, africa-south1-c",8.0,0,1.0,0.0,0.0,2.0,"Intel Cascade Lake, Intel Ice Lake",2.6,3.4,3.5,2.0,"Intel Cascade Lake, Intel Ice Lake",138600.0,0.75,1208.0,8.0,"","",128.0,263168.0,1.0,16.0,0.0,0.0,"",0.0,1.0,1.0,0.375113488,0.067864,219.121043561248,172.51285248,123.22783104,49.54072,80.3,299.3,119.939,107.748,84.096,84.096,84.096,131.4,131.4,131.4,268.64
n2-highcpu-80,n2,General-purpose,"80 vCPUs 80 GB RAM",africa,africa-south1,Johannesburg,"Johannesburg, South Africa",ZA,16.0,646.0,0.0,-26.1714376,27.8841339,70656.0,3.0,"africa-south1-a, africa-south1-b, africa-south1-c",80.0,0,1.0,0.0,0.0,2.0,"Intel Cascade Lake, Intel Ice Lake",2.6,3.4,3.5,2.0,"Intel Cascade Lake, Intel Ice Lake",1377373.0,1.08,128.0,80.0,"","",128.0,524288.0,1.0,32.0,100.0,0.0,"",0.0,1.0,1.0,3.75113488,0.67864,2191.21043561248,1725.1285248,1232.2783104,495.4072,80.3,299.3,119.939,107.748,630.72,630.72,630.72,949.0,949.0,949.0,2686.4
n2-highcpu-96,n2,General-purpose,"96 vCPUs 96 GB RAM",africa,africa-south1,Johannesburg,"Johannesburg, South Africa",ZA,16.0,646.0,0.0,-26.1714376,27.8841339,70656.0,3.0,"africa-south1-a, africa-south1-b, africa-south1-c",96.0,0,1.0,0.0,0.0,2.0,"Intel Cascade Lake, Intel Ice Lake",2.6,3.4,3.5,2.0,"Intel Cascade Lake, Intel Ice Lake","","","",96.0,"","",128.0,524288.0,1.0,32.0,100.0,0.0,"",0.0,1.0,1.0,4.501361856,0.814368,2629.45252273498,2070.15422976,1478.73397248,594.48864,80.3,299.3,119.939,107.748,756.864,756.864,756.864,1138.8,1138.8,1138.8,3223.68
n2-highmem-128,n2,General-purpose,"128 vCPUs 864 GB RAM",africa,africa-south1,Johannesburg,"Johannesburg, South Africa",ZA,16.0,646.0,0.0,-26.1714376,27.8841339,70656.0,3.0,"africa-south1-a, africa-south1-b, africa-south1-c",128.0,0,1.0,0.0,0.0,2.0,"Intel Cascade Lake, Intel Ice Lake",2.6,3.4,3.5,2.0,"Intel Cascade Lake, Intel Ice Lake",2191510.0,0.81,88.0,864.0,"","",128.0,524288.0,1.0,32.0,100.0,1.0,183350.0,1.0,1.0,1.0,10.080724864,1.824032,5888.61510640614,4635.87805824,3311.81288832,1331.54336,80.3,299.3,119.939,107.748,897.024,897.024,897.024,1401.6,1401.6,1401.6,4298.24
n2-highmem-16,n2,General-purpose,"16 vCPUs 128 GB RAM",africa,africa-south1,Johannesburg,"Johannesburg, South Africa",ZA,16.0,646.0,0.0,-26.1714376,27.8841339,70656.0,3.0,"africa-south1-a, africa-south1-b, africa-south1-c",16.0,0,1.0,0.0,0.0,2.0,"Intel Cascade Lake, Intel Ice Lake",2.6,3.4,3.5,2.0,"Intel Cascade Lake, Intel Ice Lake",276327.0,0.91,624.0,128.0,"","",128.0,263168.0,1.0,32.0,0.0,1.0,28593.0,0.0,1.0,1.0,1.370930528,0.248064,800.823584209088,630.45411648,450.39420864,181.08672,80.3,299.3,119.939,107.748,126.144,126.144,126.144,189.8,189.8,189.8,537.28
n2-highmem-2,n2,General-purpose,"2 vCPUs 16 GB RAM",africa,africa-south1,Johannesburg,"Johannesburg, South Africa",ZA,16.0,646.0,0.0,-26.1714376,27.8841339,70656.0,3.0,"africa-south1-a, africa-south1-b, africa-south1-c",2.0,0,1.0,0.0,0.0,2.0,"Intel Cascade Lake, Intel Ice Lake",2.6,3.4,3.5,2.0,"Intel Cascade Lake, Intel Ice Lake",34695.0,0.82,3688.0,16.0,"","",128.0,263168.0,1.0,10.0,0.0,1.0,3574.0,0.0,1.0,1.0,0.171366316,0.031008,100.102948026136,78.80676456,56.29927608,22.63584,80.3,124.1,50.005,44.7198,21.024,21.024,21.024,32.85,32.85,32.85,67.16
n2-highmem-32,n2,General-purpose,"32 vCPUs 256 GB RAM",africa,africa-south1,Johannesburg,"Johannesburg, South Africa",ZA,16.0,646.0,0.0,-26.1714376,27.8841339,70656.0,3.0,"africa-south1-a, africa-south1-b, africa-south1-c",32.0,0,1.0,0.0,0.0,2.0,"Intel Cascade Lake, Intel Ice Lake",2.6,3.4,3.5,2.0,"Intel Cascade Lake, Intel Ice Lake",550448.0,1.23,320.0,256.0,"","",128.0,524288.0,1.0,32.0,50.0,1.0,57185.0,1.0,1.0,1.0,2.741861056,0.496128,1601.64716841818,1260.90823296,900.78841728,362.17344,80.3,299.3,119.939,107.748,252.288,252.288,252.288,379.6,379.6,379.6,1074.56
